ID,DUP,First Name,Last Name,Marital Status,Race,DOB,SSN,Income,Credit Card Number,City,ZIP Code,Telephone Number
1333,0,Griffin,Blake,Married,White,1/10/1984,681-52-7093,55031.5,9948 9023 6887 8650,Washington DC,20004,470-771-1038
1339,0,Erin,Heuston,Married,Asian,9/7/1957,646-25-0852,67716.6,6672 2992 3852 8855,Washington DC,20015,352-905-7809
1340,0,Mitchell,Paterson,Never Married,Others,11/4/1996,503-44-3538,21544.8,1195 7880 4168 2387,Washington DC,20003,815-960-4014
1342,1,Grake,Fullgraloe,Married,White,8/9/1972,,NA,1328 3003 1633 2582,Washington DC,20003,601-419-0643
1353,0,Christian,Fairnington,Married,Asian,6/20/1956,049-21-0562,33305.9,6602 6216 0687 4711,Washington DC,20012,916-102-3327
1364,0,James,Wilkins,Married,White,5/17/1971,287-41-9283,132273.4,5194 2489 8013 2322,Washington DC,20003,469-882-8883
1368,0,Melinda,Robeson,Married,White,11/30/1976,474-91-9605,23335.3,3833 5990 1007 1762,Washington DC,20020,406-333-5175
1377,1,Alexandra,Neumanh,Married,,4/10/1979,423-37-2265,24837.5,1978 7341 423 5491,Washington DC,20009,
1380,1,Olivia,Dixon,Married,Asian,12/30/1973,,NA,4855 71024 8468 2936,Washington DC,20012,
1381,1,Ema,Latouras,Widowed,Hispanic,11/20/1948,267-37-9078,NA,0981 1970 217 0636,Washington DC,20018,931-248-8391
1384,0,Harry,Bishop,Never Married,White,6/27/1997,146-88-2514,116832.4,1454 2674 7710 9718,Washington DC,20012,803-020-0987
1386,1,Tiarna,Campell,Married,White,11/30/1995,526-35-1070,NA,6324 981 0516 1744,Washington DC,20016,
1391,0,Peter,Coleman,Married,White,12/12/1955,607-79-0916,30790.3,8799 7430 3039 1781,Washington DC,20017,269-658-3606
1395,0,Joshua,Andrae,Married,White,1/16/1963,007-66-9991,72655.1,9587 2364 2998 5874,Washington DC,20018,913-854-5959
1398,0,Channing,Wiseman,Never Married,White,3/27/1977,400-59-5438,107845.6,8568 1123 1827 8864,Washington DC,20003,308-314-7949
1401,0,Ben,Godfrey,Never Married,White,2/18/1996,386-76-2957,33573.9,4614 4526 0728 6225,Washington DC,20004,574-466-1828
1406,0,Connor,Saul,Married,White,3/12/1992,191-26-4096,54685.6,9391 2918 6204 7218,Washington DC,20012,320-142-7101
1407,0,Zac,Senti,Married,Black,3/21/1956,563-58-7089,99398.2,3621 9936 6404 7565,Washington DC,20008,417-793-7123
1413,0,Tahni,Kerkham,Widowed,White,5/16/1986,249-82-6867,40903.6,2055 4362 7381 7047,Washington DC,20007,216-673-0349
1414,1,Dant,Conjtance,Never Married,White,2/5/1949,356-25-1266,NA,1189 4431 3990 26679,Washington DC,20006,760-710-9702
1419,0,Samuel,Parr,Never Married,Black,11/1/1994,220-35-1475,65810.5,5408 4723 6067 1720,Washington DC,20015,717-184-2729
1420,1,Robin,Ajius,Married,,1/30/1976,,58382.1,0020 5274 6703 9109,Washington DC,20013,
1425,0,Madeline,Carmody,Never Married,Others,11/7/1990,690-12-1753,151252.9,5501 6172 0122 6979,Washington DC,20016,510-560-7777
1434,0,Adam,Green,Married,White,7/28/1959,636-73-2577,179233.2,3700 9824 0378 6861,Washington DC,20022,531-576-8362
1440,1,Emma,Reid,Married,,10/14/1990,,91448.2,60670 3560 1107 9575,Washington DC,20012,
1441,1,Laxlan,Jezsup,Married,White,1/7/1997,012-53-5945,NA,7958 9135 48584 2895,Washington DC,20015,831-528-9046
1449,0,Jackson,Herbert,Married,White,6/21/1992,339-02-2384,93786.1,7862 5071 0734 8603,Washington DC,20016,830-823-2418
1452,0,Thomas,Maslich,Never Married,White,12/3/1971,432-61-1399,16982.5,7001 3874 4913 0737,Washington DC,20003,908-356-8941
1453,0,Maddison,Robson,Never Married,White,3/24/1969,115-49-1190,138972.1,2247 0320 7268 3710,Washington DC,20013,774-009-9091
1464,0,Lachlan,Huebner,Never Married,White,8/29/1947,200-05-7903,72341.3,1862 4309 7402 7980,Washington DC,20010,217-704-0119
1466,0,Jacob,White,Married,Hispanic,12/11/1960,099-53-7704,53636.7,1122 0433 4557 3284,Washington DC,20007,412-820-3608
1478,1,Brooklyn,Reid,Never Married,,12/9/1978,,NA,4028 4494 3378 2185,Washington DC,20001,
1485,0,Caitlin,Dixon,Never Married,White,9/23/1977,371-90-7886,92058,7819 2559 5374 0573,Washington DC,20019,716-794-2575
1494,0,Alisa,Green,Married,White,7/5/1973,313-12-5316,36982.6,7801 5683 6570 5758,Washington DC,20022,318-003-0049
1498,0,Francesco,Doman,Married,White,11/7/1961,497-77-5818,28739.6,1857 2395 9529 9805,Washington DC,20010,228-006-9073
1514,0,Liam,Green,Never Married,White,4/4/1996,201-97-0140,23461.2,3790 8003 6230 1744,Washington DC,20001,508-020-9439
1522,1,Jessica,Dakin,,White,7/5/1976,,60629.8,9754 6299 0551 248,Washington DC,20015,
1544,1,Courtney,Melam,Married,White,7/17/1979,,77025.7,6252 7698 7034 14049,Washington DC,20006,
1548,0,Aleisha,Bickerstaffe,Married,White,10/9/1996,195-06-1600,128651.8,0908 0212 6111 0274,Washington DC,20008,570-057-2898
1550,0,Nicholas,Fimmano,Widowed,White,7/24/1986,275-21-3630,47569.8,8388 8770 5426 8423,Washington DC,20005,878-677-4394
1553,0,Adam,Lock,Married,White,10/11/1987,560-59-6245,79680.6,5490 5037 6624 1831,Washington DC,20022,208-541-6213
1556,1,Loren,White,Married,White,8/9/1992,353-92-2268,NA,7263 7019 383 1554,Washington DC,20008,
1562,1,Jaret,Wep,Married,Hispanic,10/28/1984,155-05-6283,NA,8892 5075 14076 4461,Washington DC,20019,872-026-6265
1563,0,Mikhaili,Burford,Never Married,Black,10/7/1989,418-92-5908,48980.7,3061 2914 1902 7438,Washington DC,20015,216-694-0889
1570,0,Joel,Lifshack,Never Married,White,11/23/1990,531-15-8644,59925,6885 6682 0067 2040,Washington DC,20015,757-676-2658
1573,0,Nicholas,Fernando,Married,Black,2/24/1987,577-96-3090,221512.3,1774 1561 4165 5744,Washington DC,20020,308-502-1682
1586,0,Sebastian,Noble,Married,Asian,7/16/1971,643-05-6014,173723.6,9038 3070 6863 4228,Washington DC,20018,864-162-7060
1587,0,Takeisha,Cassebohm,Married,White,2/20/1966,254-84-6850,199387.7,0135 6849 9053 5779,Washington DC,20015,347-894-1823
1597,0,Coby,Donaldson,Never Married,White,9/2/1989,371-63-2403,56353.3,4835 3667 2685 4152,Washington DC,20004,901-878-3603
1598,1,Mikhayla,Hanna,Married,White,9/15/1955,462-41-0724,NA,9254 542 2472 0588,Washington DC,20012,
1599,0,Madison,Wilkey,Divorced,White,6/20/1973,213-83-8105,59514.1,9740 1349 1868 2571,Washington DC,20004,903-205-4723
1610,0,Joshua,Webb,Divorced,Asian,5/28/1971,399-88-1806,99337.4,5162 3326 7626 2093,Washington DC,20013,980-210-1893
1612,1,Oliuer,Plumley,Widowed,,2/11/1962,,44287.4,5786 7100 01924 6652,Washington DC,20005,612-903-9179
1616,0,Alissa,Kluske,Married,White,10/7/1976,726-48-9780,41257.1,0498 1943 2437 8848,Washington DC,20010,225-699-9387
1622,1,Amy,Green,Married,,1/19/1989,,NA,2211 3670 1467 2214,Washington DC,20016,
1626,1,Madison,Whit,Married,,10/30/1968,,13890.1,2148 98894 9405 0752,Washington DC,20004,251-984-1221
1630,0,Gabriel,Frahn,Married,White,12/28/1989,117-05-3429,54280.7,2677 3345 0125 4538,Washington DC,20004,512-542-5805
1631,1,Mickaela,Green,,White,10/2/1950,124-50-8226,NA,7948 0401 1696 293,Washington DC,20013,863-340-4954
1652,0,Charlotte,Kobus,Never Married,White,12/3/1953,705-49-1975,91060.9,5087 7896 3146 5259,Washington DC,20005,616-589-8456
1657,0,Adam,Matthews,Never Married,White,4/20/1994,082-55-8346,22511.4,7138 3714 7108 7883,Washington DC,20010,832-812-2925
1660,1,Abbey,Milar,,Black,9/29/1989,035-95-5095,22151.7,4058 59450 5189 7431,Washington DC,20017,
1661,1,Rily,Matthewz,Never Married,White,8/24/1975,137-22-2392,NA,635 1822 9180 7486,Washington DC,20005,218-712-8740
1662,1,Oscra,Noyce,,,2/21/1978,528-41-9216,NA,1378 0250 3605 9283,Washington DC,20016,435-464-8041
1679,0,Brendan,Nguyen,Married,White,02/29/1959,090-58-3887,75671.9,2664 9313 2627 7830,Washington DC,20008,907-564-2893
1687,1,Emiili,Weler,Married,Hispanic,8/24/1954,,69165.2,7126 56224611 5766,Washington DC,20001,802-111-2255
1691,0,Keely,Wilkins,Never Married,White,8/20/1991,144-57-4083,33137.3,4780 5659 1213 6916,Washington DC,20004,206-388-6500
1693,0,Jack,Karantonis,Divorced,White,5/15/1979,144-79-6010,58883.5,4531 2806 3296 6347,Washington DC,20011,484-178-2141
1694,0,Jackson,Roche,Married,Hispanic,11/1/1987,355-80-8550,121599.2,3312 6142 5805 7667,Washington DC,20005,734-714-2146
1701,0,Cooper,Crouch,Married,White,10/17/1970,432-09-2039,74631.8,5037 3973 6855 7775,Washington DC,20015,717-851-6164
1702,0,Alexandra,Goult,Married,Black,1/29/1953,438-49-0472,57984.8,1262 5980 3890 1990,Washington DC,20016,435-202-7306
1705,0,Kimberly,Campbell,Married,White,12/5/1979,363-91-0801,94249.8,1534 9202 3833 2208,Washington DC,20019,941-078-9757
1713,1,Emiili,Millane,Never Married,Hispanic,11/29/1954,,NA,6416 5034 068 7269,Washington DC,20017,208-915-2273
1718,1,Chesea,Colegate,Married,,11/3/1962,316-73-6534,NA,6340 2073 792 1394,Washington DC,20008,469-800-7321
1722,1,Ethan,Nurje,Never Married,,3/22/1976,637-25-1410,NA,0321 87200 9199 8524,Washington DC,20017,331-532-5382
1726,0,Jordan,Hiscox,Married,Black,8/30/1984,335-44-3045,62186.4,5728 9079 0355 3453,Washington DC,20006,323-018-3436
1727,0,Makayla,Petersen,Never Married,Hispanic,11/23/1980,428-14-5780,20071.2,7854 5833 8440 4355,Washington DC,20006,215-990-4568
1729,0,Madeleine,Simmonds,Widowed,Black,8/28/1951,461-19-9055,55610,6716 0664 7263 4059,Washington DC,20022,318-842-0396
1744,0,Charlotte,Gillis,Married,White,1/7/1979,455-20-8293,89931.7,9221 2207 2745 3727,Washington DC,20018,828-388-1140
1752,1,Mitchell,Lante,Never Married,,7/26/1971,238-46-5147,NA,3416 71624 5423 7575,Washington DC,20006,
1753,0,Michael,Ryan,Married,White,6/21/1950,585-59-7119,291139,8523 7434 9591 9757,Washington DC,20002,856-964-3469
1756,0,Chase,Mcgregor,Never Married,White,6/20/1971,621-84-8692,59643,7150 5606 2483 1283,Washington DC,20001,813-409-1134
1765,0,Hannah,Campbell,Never Married,Black,7/1/1952,298-67-5194,27909.2,0455 4426 2986 3488,Washington DC,20004,623-453-9003
1770,1,Michael,Ongkiko,,,3/17/1960,251-56-1260,NA,7815 45917 5851 1316,Washington DC,20016,256-568-5880
1772,1,Ashton,Camppell,,,11/24/1980,488-43-0897,34581,53035 4853 8883 2413,Washington DC,20004,701-350-9916
1773,0,Lily,Clarke,Married,Hispanic,10/10/1977,034-07-0864,45398,0007 6926 7843 4585,Washington DC,20016,507-798-2444
1774,0,Kyle,Mauric,Married,White,8/9/1949,143-98-9509,34436.4,0540 4206 3648 8471,Washington DC,20017,432-542-6152
1776,0,Benjamin,Shepherd,Married,Others,5/18/1972,468-80-0086,57819.3,0621 2214 2819 3343,Washington DC,20002,402-266-5812
1787,0,Alexandra,George,Married,White,4/13/1948,223-23-6725,72910.7,8017 6701 2430 4844,Washington DC,20016,938-718-1015
1788,0,Harrison,Lipinski,Married,White,3/5/1979,191-99-6960,98823.1,2128 9152 5918 4781,Washington DC,20001,407-741-5855
1789,0,Katie,Lombardi,Married,White,7/12/1970,532-09-0944,55969.1,0154 0737 6235 4300,Washington DC,20017,978-950-2333
1795,0,Heather,Dhondee,Divorced,White,10/8/1967,728-42-7650,97157.5,9432 7906 3166 0114,Washington DC,20017,203-607-2849
1800,1,Timoty,Stubbs,,,3/22/1958,205-95-6653,21555.9,4410 8159 284 0891,Washington DC,20022,406-748-6493
1807,0,Dayna,Bordin,Married,Hispanic,4/14/1955,330-98-7511,94313.4,1023 3731 7185 8447,Washington DC,20005,305-580-3140
1808,0,John,Mcsporran,Married,Hispanic,10/3/1963,299-59-7517,67467.5,6808 6179 4430 8027,Washington DC,20003,508-691-2807
1822,1,Lily,Waller,Married,,7/17/1992,436-41-3466,NA,4442 94687 5977 0401,Washington DC,20002,
1823,0,Imogen,Cruttenden,Married,White,10/22/1970,335-24-9750,41592.5,2580 2646 5547 6916,Washington DC,20004,308-370-6681
1824,1,Cooper,Howie,,,1/22/1960,,52346.6,8894 7978 48318 2547,Washington DC,20015,706-478-2791
1826,0,Jake,Garnett,Married,American Indian-Alaska Native,9/13/1958,402-87-0686,198134.5,9551 5454 8518 7427,Washington DC,20015,541-883-7970
1831,0,Madison,Frahn,Married,Black,4/25/1970,448-94-3489,67543.8,8834 1066 1247 8186,Washington DC,20013,628-717-3504
1835,0,Isabella,Nevin,Divorced,White,11/28/1969,355-94-3199,125066.9,8814 1864 2814 1432,Washington DC,20020,626-506-2637
1843,0,Stirling,Shadbolt,Never Married,White,7/14/1961,631-96-1018,248838.5,5694 5293 3434 6351,Washington DC,20005,430-218-6814
1848,1,Teileah,Teunijsen,Widowed,White,3/2/1953,,63784.6,02849929 4439 5948,Washington DC,20022,
1852,0,Samantha,Carbone,Never Married,White,3/18/1957,110-09-3139,69238.5,3196 1515 4566 0640,Washington DC,20010,951-732-7298
1856,1,Kay,Borgs,Married,,1/5/1959,029-66-0157,93862.2,8476 4410 219 1 4459,Washington DC,20022,612-028-1757
1857,0,Ethan,Wilkins,Married,White,6/1/1988,581-50-2676,26907.4,9181 7531 7699 5698,Washington DC,20017,702-455-0821
1860,0,Madeline,Patience,Divorced,White,10/30/1957,073-26-1000,63633.2,0667 6266 1868 1415,Washington DC,20003,910-123-1693
1861,0,Kaitlyn,Campbell,Never Married,Hispanic,5/14/1965,555-85-2914,83865.3,6603 2577 8977 2714,Washington DC,20017,646-497-9761
1864,1,Arahella,Limbrrt,Married,Others,4/26/1993,275-89-1348,NA,890 1583 7026 0301,Washington DC,20020,229-114-9930
1868,0,Ruben,Hoffman,Never Married,White,12/3/1983,678-60-6631,74487.5,6254 3080 2864 2235,Washington DC,20006,757-282-5473
1873,0,Kaitlin,Fauser,Married,White,4/8/1977,119-20-5941,75837.3,4147 6589 6855 7273,Washington DC,20006,312-616-7176
1875,0,Jai,Campbell,Never Married,White,1/15/1950,372-73-2256,73855.3,3821 5615 0666 2009,Washington DC,20017,534-591-1872
1891,0,Kadin,Matthews,Married,Hispanic,4/6/1983,673-37-0713,33618.5,0071 7315 9269 0521,Washington DC,20005,310-347-2809
1901,0,Charlotte,Forbes-ewan,Married,White,3/25/1992,576-64-1337,38224.3,3391 1241 4002 8822,Washington DC,20005,251-880-1358
1909,1,Ela,Manskey,,Black,12/6/1951,,102144.3,3353 0165 0546 545,Washington DC,20003,717-932-9777
1910,1,Charlott,Whideley,Never Married,,4/1/1970,694-85-9103,NA,7831 3238 6111 0318,Washington DC,20017,219-811-5788
1912,0,Tyrone,Hyland,Widowed,Hispanic,11/7/1987,229-62-2487,52406.1,6949 9695 8283 8996,Washington DC,20017,949-922-4518
1914,0,Cameron,Hondrovasilopoulos,Married,White,11/11/1969,258-89-7420,98824.3,8947 2273 5979 5097,Washington DC,20010,859-585-8867
1919,0,Kyle,Berryman,Divorced,White,5/21/1951,337-67-9336,87165.9,3077 5272 4871 8121,Washington DC,20022,478-848-3492
1927,1,Kylee,Chitty,Never Married,Hispanic,4/9/1960,,102433.5,6737 2519 62698 0377,Washington DC,20012,
1932,1,Nathna,Grubb,Married,,3/26/1963,,90433.4,1838 67226 7101 4695,Washington DC,20015,651-044-8795
1935,0,Tyler,Thorpe,Married,White,9/24/1958,541-70-2789,63185.5,8121 4794 7334 4267,Washington DC,20004,605-829-0926
1937,0,Pino,Mason,Married,Black,8/25/1952,039-69-2764,58935.1,4213 7882 0189 1517,Washington DC,20006,901-994-5226
1943,0,Mhary,De bono,Married,Black,2/1/1971,168-04-1183,28088.4,6602 8568 3162 3233,Washington DC,20012,567-501-1790
1952,1,Joel,Lamborne,Never Married,,5/30/1983,,88612,5821 3071 29169 3618,Washington DC,20010,
1970,0,Quinn,Godfrey,Married,White,11/23/1973,357-21-6499,126324,6330 9334 9172 1287,Washington DC,20015,213-528-8062
1979,0,Harriet,Green,Married,White,5/13/1987,116-18-3498,82124.8,5244 7395 4557 7908,Washington DC,20004,929-634-5380
1987,1,Anaztasia,Shephert,,White,3/9/1981,569-47-9805,67151.1,0060 3403 9504 92468,Washington DC,20006,727-711-9503
1989,1,Courtney,Arganeste,Married,White,9/6/1979,064-52-9186,NA,2475 86376 4108 8431,Washington DC,20009,
1992,1,Aiten,Babic,Married,White,10/20/1984,,NA,0205 1744 0908 475,Washington DC,20010,660-988-9858
2008,0,Karissa,Campbell,Married,Others,6/26/1968,485-61-9666,33633.2,8457 2583 1046 5895,Los Angeles,90001,212-681-1773
2009,0,Jayme,Beemster,Divorced,Black,12/11/1985,218-64-0190,41277.6,9004 8757 2275 7478,Los Angeles,90005,724-021-2525
2013,0,Taliah,Staude,Married,White,6/24/1954,176-03-9379,166134.9,4029 4369 6201 0727,Los Angeles,90013,313-519-3459
2017,0,Kiara,Kellow,Married,White,2/21/1957,305-22-0947,49913.3,1116 6409 0941 9097,Los Angeles,90004,360-672-5947
2018,0,Sophie,Rees,Married,Black,11/29/1972,300-84-6055,56720.8,4746 4021 4953 5761,Los Angeles,90008,212-581-9289
2035,1,William,Solito,,,11/22/1953,641-33-0142,NA,2741 1818 87308 5733,Los Angeles,90006,930-279-1488
2036,1,Jortan,Morrison,,White,5/23/1957,710-65-5932,NA,33010648 6409 2698,Los Angeles,90015,774-992-8868
2040,0,Marley,Webb,Never Married,Asian,5/27/1948,566-33-9955,41779.9,7512 2616 1227 2381,Los Angeles,90014,570-630-8003
2041,1,Shena,Blake,,,8/24/1951,114-06-9553,69117.6,8526 58628 9194 0982,Los Angeles,90006,947-246-0518
2042,1,Mdadison,Loee,Married,Asian,3/9/1995,124-31-9300,41201.2,0863 7757 08959 1014,Los Angeles,90002,
2051,0,Laura,Stolz,Divorced,Others,1/26/1980,633-03-2423,212540.5,4962 2261 5876 6138,Los Angeles,90003,517-451-1264
